pair_id,targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,response,response_type,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
123,0.504,31,1.004,61,0.504,31,1.004,61,7,similarity,0,38,38,122,1,0.25,0.25,0.5,0.5,#006a8b,#005692,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
102,0.5,30,1.016,61,0.5,30,1.016,61,0,similarity,0,39,39,101,1,0.25,0.25,0.5,0.5,#007b75,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
51,0.501,30,1,60,0.501,30,1,60,2,similarity,0,40,40,50,1,0.25,0.25,0.5,0.5,#753a7a,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
36,0.516,31,1,60,0.516,31,1,60,0,similarity,0,41,41,35,1,0.25,0.25,0.5,0.5,#c13547,#007b75,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
45,0.515,31,1.016,61,0.515,31,1.016,61,3,similarity,0,42,42,44,1,0.25,0.25,0.5,0.5,#a03663,#9aa400,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
96,0.516,31,1.016,61,0.516,31,1.016,61,2,similarity,0,43,43,95,1,0.25,0.25,0.5,0.5,#9aa400,#c7512c,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
47,0.507,31,1.007,61,0.507,31,1.007,61,4,similarity,0,44,44,46,1,0.25,0.25,0.5,0.5,#753a7a,#005692,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
72,0.5,30,1,60,0.5,30,1,60,1,similarity,0,45,45,71,1,0.25,0.25,0.5,0.5,#4b488e,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
104,0.515,30,1.014,60,0.515,30,1.014,60,2,similarity,0,46,46,103,1,0.25,0.25,0.5,0.5,#9aa400,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
105,0.514,31,1.013,61,0.514,31,1.013,61,6,similarity,0,47,47,104,1,0.25,0.25,0.5,0.5,#753a7a,#a03663,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
74,0.5,30,1,60,0.5,30,1,60,1,similarity,0,48,48,73,1,0.25,0.25,0.5,0.5,#006a8b,#d2b700,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
18,0.511,31,1.001,60,0.511,31,1.001,60,1,similarity,0,49,49,17,1,0.25,0.25,0.5,0.5,#db8b08,#006a8b,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
125,0.5,30,1,60,0.5,30,1,60,6,similarity,0,50,50,124,1,0.25,0.25,0.5,0.5,#008a52,#005692,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
3,0.515,31,1,60,0.515,31,1,60,4,similarity,0,51,51,2,1,0.25,0.25,0.5,0.5,#d2b700,#c13547,784297,001,2024-06-27_23h28.32.312,kana_colourPreferenceQualia,2022.2.5,Win32,60.0240096
